fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
2008-02-01,,,,,,,,69.9,74.1,72.89999999999999,6.113537117903944,6.465517241379315,6.772009029345405,1.2295081967212962,2008-01-01,2008-03-01
2008-03-01,,,,,,,,76.8,74.0,73.93333333333334,5.719733079122968,4.078762306610417,6.113537117903922,-0.13495276653170407,2008-02-01,2008-04-01
2008-04-01,,,,,,,,75.1,73.7,75.60000000000001,4.951411383618698,4.243281471004234,5.835734870316989,-0.40540540540540126,2008-03-01,2008-05-01
2008-05-01,,,,,,,,74.9,73.6,74.56666666666666,5.023474178403742,4.101838755304099,5.644699140401133,-0.13568521031208647,2008-04-01,2008-06-01
2008-06-01,,,,,,,,73.7,74.2,73.26666666666667,5.520883341334604,4.950495049504955,5.559532331185868,0.8152173913043681,2008-05-01,2008-07-01
2008-07-01,,,,,,,,71.2,74.4,71.89999999999999,4.6071774975751545,6.4377682403433445,5.700761473554228,0.26954177897573484,2008-06-01,2008-08-01
2008-08-01,,,,,,,,70.8,72.1,70.73333333333333,3.562713518789651,1.6925246826515972,5.259365994236309,-3.091397849462385,2008-07-01,2008-09-01
2008-09-01,,,,,,,,70.2,73.2,72.10000000000001,2.269503546099294,1.8080667593880273,4.903846153846159,1.5256588072122268,2008-08-01,2008-10-01
2008-10-01,,,,,,,,75.3,73.3,73.2,1.5256588072122268,2.3743016759776525,4.660166332090632,0.136612021857907,2008-09-01,2008-11-01
2008-11-01,,,,,,,,74.1,71.8,75.96666666666665,0.7961079168509411,-0.4160887656033285,4.212572909915746,-2.046384720327421,2008-10-01,2008-12-01
2008-12-01,,,,,,,,78.5,72.8,74.53333333333333,-0.4895416110369255,-0.2739726027397249,3.811316315727553,1.392757660167132,2008-11-01,2009-01-01
2009-01-01,,,,,,,,71.0,72.4,72.3,-1.6326530612244983,-1.0928961748633892,-1.388888888888884,-0.5494505494505364,2008-12-01,2009-02-01
2009-02-01,,,,,,,,67.4,72.2,71.3,-2.1947873799725626,-2.564102564102555,-2.466525722339674,-0.2762430939226568,2009-01-01,2009-03-01
2009-03-01,,,,,,,,75.5,72.3,72.06666666666666,-2.5247971145175963,-2.297297297297296,-2.1947873799725626,0.13850415512464131,2009-02-01,2009-04-01
2009-04-01,,,,,,,,73.3,72.0,73.86666666666666,-2.2927689594356426,-2.3066485753052923,-2.246426140231461,-0.4149377593360981,2009-03-01,2009-05-01
2009-05-01,,,,,,,,72.8,71.8,72.46666666666665,-2.816271792579361,-2.4456521739130377,-2.359641985353944,-0.2777777777777768,2009-04-01,2009-06-01
